AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
12.728,1007.8,87.949,4.4928,24.333,1086.3,550.02,134.41,11.838,0.95374,74.117
24.577,1011.4,47.3,2.9115,18.739,1051.0,549.94,104.8,10.141,2.5419,61.887
14.084,1017.6,73.675,2.9318,19.35,1057.5,550.03,112.21,10.535,3.9011,75.568
32.422,1011.0,52.727,4.5852,29.825,1099.6,540.82,146.5,13.279,0.35179,52.58
13.788,1016.8,86.933,3.5058,24.09,1085.8,550.03,133.33,11.775,1.7396,69.873
8.1959,1009.6,83.12,4.0042,23.55,1083.6,550.13,133.97,11.834,1.3315,80.671
24.046,1008.4,66.358,3.7252,25.286,1089.6,550.14,133.63,11.963,0.7589,64.191
14.531,1012.4,88.8,3.5684,24.24,1086.1,550.03,133.72,11.808,1.2073,66.29
17.628,1014.9,72.489,4.2688,24.588,1088.1,550.06,133.7,11.988,1.2743,72.489
19.741,1017.5,75.93,4.639,29.555,1099.9,538.42,150.25,13.379,1.1986,64.633
16.293,1020.8,71.068,4.0121,24.516,1088.3,549.86,133.65,11.832,2.0327,76.334
28.898,1011.6,64.444,4.409,29.54,1099.8,541.68,146.18,13.186,0.76984,56.679
28.527,1011.4,52.748,4.0754,26.148,1094.7,549.66,133.75,12.267,0.41211,65.059
28.369,1015.0,44.316,3.3144,20.581,1062.7,550.06,111.8,10.776,2.1089,56.393
28.186,1017.3,46.955,4.5302,31.187,1100.0,535.47,152.11,13.505,0.58384,55.108
26.748,1014.1,77.075,4.0492,25.881,1093.4,549.89,134.17,12.256,0.31917,58.59
17.729,1004.4,85.544,2.9993,19.473,1055.7,550.04,110.74,10.46,3.0594,64.094
21.809,1011.6,86.106,3.7555,25.123,1089.3,549.83,133.79,12.151,0.64991,60.634
4.6404,1016.3,82.845,3.8403,23.482,1084.9,549.8,133.67,11.776,0.99954,84.376
17.828,1012.6,85.12,4.4278,31.481,1099.9,533.96,155.34,13.598,0.58624,59.661
9.0411,1020.0,96.628,3.6552,19.24,1040.8,539.18,109.71,10.607,7.8829,96.499
24.581,1014.9,65.447,3.0131,20.021,1059.6,550.1,110.73,10.495,1.999,56.664
10.76,1028.8,63.581,5.1986,32.947,1100.0,526.3,162.47,14.155,0.96504,63.404
20.746,1011.1,86.661,3.1182,19.962,1059.5,549.96,112.36,10.736,2.0381,56.655
21.361,1013.1,55.989,3.8574,19.815,1057.8,550.14,110.72,10.496,2.4383,69.268
9.8826,1023.5,77.243,3.5756,21.008,1068.5,549.95,121.45,11.06,2.7166,82.387
13.859,1015.2,63.158,4.5182,32.231,1100.1,529.52,160.0,13.97,0.94537,62.779
13.711,1021.5,82.302,4.1119,24.273,1086.7,550.05,133.63,11.918,1.7109,75.893
31.231,1008.3,52.396,3.9957,25.938,1093.0,549.82,133.78,12.216,0.71116,63.759
15.781,1010.0,74.172,4.7926,25.81,1093.9,550.16,139.85,12.301,1.1793,74.487
3.257,1016.7,87.067,4.0498,23.291,1084.2,549.94,134.33,11.844,3.0675,60.38
13.663,1004.7,97.81,4.3268,24.752,1087.4,550.29,135.52,11.929,1.5782,75.008
28.524,1011.5,57.036,4.2101,26.121,1093.0,549.13,133.18,12.351,0.74232,62.703
13.562,1012.4,83.903,3.4591,23.802,1084.2,549.96,132.88,11.784,1.3129,66.218
8.0161,1011.5,75.488,4.028,24.061,1084.0,549.26,134.56,11.907,1.0983,81.984
18.993,1012.1,95.611,3.0705,19.767,1058.2,550.0,111.42,10.471,2.2431,59.64
8.8396,1016.1,91.707,4.346,23.801,1083.9,550.1,133.67,11.747,1.9327,79.528
3.6312,1018.3,80.596,3.847,23.436,1084.9,550.01,135.71,11.928,1.722,82.232
6.6378,1017.4,84.843,4.1821,24.336,1087.6,549.88,134.69,11.97,1.5588,83.713
14.594,1008.4,89.182,2.9726,19.376,1056.8,549.82,112.36,10.532,3.2665,71.277
8.6087,1011.5,84.016,4.1092,23.817,1084.1,550.22,133.91,11.754,1.8832,81.093
9.5528,1021.3,79.565,3.9023,23.907,1085.6,550.04,134.7,11.869,1.5807,79.642
14.241,1024.9,73.412,4.5946,27.997,1093.0,540.57,144.86,12.802,1.4786,69.774
25.336,1010.2,74.826,4.0052,25.98,1092.4,550.07,133.76,12.036,0.93695,65.407
23.908,1017.2,68.572,4.4122,30.711,1099.6,536.24,152.18,13.543,0.72668,53.643
